catalog_id,list_id,item_id,list_name,sku,product_name,shop_id,mis_item_id,size
32877,54139,426176,PRJERSEY,1218FJRPMIA1BL,SW11443PA PRJERSEY 1218FJRPMIA1BL - MIAMI DOLPHINS JERSEY PRINT TUA TAGOVAILOA BLUE PROOF 12x18,SW11443PA,197-2,12x18
32877,54139,428645,PRJERSEY,17523FJRPMIA1BL,SW11443PB PRJERSEY 17523FJRPMIA1BL - MIAMI DOLPHINS JERSEY PRINT TUA TAGOVAILOA BLUE PROOF 17.5x23,SW11443PB,197-3,17.5x23
32877,54139,426177,PRJERSEY,1218FJRPMIA1WH,SW11444PA PRJERSEY 1218FJRPMIA1WH - MIAMI DOLPHINS JERSEY PRINT TUA TAGOVAILOA WHITE PROOF 12x18,SW11444PA,197-2,12x18
32877,54139,428646,PRJERSEY,17523FJRPMIA1WH,SW11444PB PRJERSEY 17523FJRPMIA1WH - MIAMI DOLPHINS JERSEY PRINT TUA TAGOVAILOA WHITE PROOF 17.5x23,SW11444PB,197-3,17.5x23
32877,54139,426178,PRJERSEY,1218FJRPMIA5BL,SW11445PA PRJERSEY 1218FJRPMIA5BL - MIAMI DOLPHINS JERSEY PRINT JALEN RAMSEY BLUE PROOF 12x18,SW11445PA,197-2,12x18
32877,54139,428647,PRJERSEY,17523FJRPMIA5BL,SW11445PB PRJERSEY 17523FJRPMIA5BL - MIAMI DOLPHINS JERSEY PRINT JALEN RAMSEY BLUE PROOF 17.5x23,SW11445PB,197-3,17.5x23
32877,54139,426179,PRJERSEY,1218FJRPMIA5WH,SW11446PA PRJERSEY 1218FJRPMIA5WH - MIAMI DOLPHINS JERSEY PRINT JALEN RAMSEY WHITE PROOF 12x18,SW11446PA,197-2,12x18
32877,54139,428648,PRJERSEY,17523FJRPMIA5WH,SW11446PB PRJERSEY 17523FJRPMIA5WH - MIAMI DOLPHINS JERSEY PRINT JALEN RAMSEY WHITE PROOF 17.5x23,SW11446PB,197-3,17.5x23
32877,54139,426180,PRJERSEY,1218FJRPMIN18PR,SW11447PA PRJERSEY 1218FJRPMIN18PR - MINNESOTA VIKINGSPORTS JERSEY PRINT JUSTIN JEFFERSON PURPLE PROOF 12x18,SW11447PA,197-2,12x18
32877,54139,428649,PRJERSEY,17523FJRPMIN18PR,SW11447PB PRJERSEY 17523FJRPMIN18PR - MINNESOTA VIKINGSPORTS JERSEY PRINT JUSTIN JEFFERSON PURPLE PROOF 17.5x23,SW11447PB,197-3,17.5x23
32877,54139,426181,PRJERSEY,1218FJRPMIN18WH,SW11448PA PRJERSEY 1218FJRPMIN18WH - MINNESOTA VIKINGSPORTS JERSEY PRINT JUSTIN JEFFERSON WHITE PROOF 12x18,SW11448PA,197-2,12x18
32877,54139,428650,PRJERSEY,17523FJRPMIN18WH,SW11448PB PRJERSEY 17523FJRPMIN18WH - MINNESOTA VIKINGSPORTS JERSEY PRINT JUSTIN JEFFERSON WHITE PROOF 17.5x23,SW11448PB,197-3,17.5x23
32877,54139,426182,PRJERSEY,1218FJRPMIN87PR,SW11449PA PRJERSEY 1218FJRPMIN87PR - MINNESOTA VIKINGS JERSEY PRINT TJ HOCKENSON PURPLE PROOF 12x18,SW11449PA,197-2,12x18
32877,54139,428651,PRJERSEY,17523FJRPMIN87PR,SW11449PB PRJERSEY 17523FJRPMIN87PR - MINNESOTA VIKINGS JERSEY PRINT TJ HOCKENSON PURPLE PROOF 17.5x23,SW11449PB,197-3,17.5x23
32877,54139,426183,PRJERSEY,1218FJRPMIN8PR,SW11450PA PRJERSEY 1218FJRPMIN8PR - MINNESOTA VIKINGS JERSEY KIRK COUSINS PURPLE PROOF 12x18,SW11450PA,197-2,12x18
32877,54139,428652,PRJERSEY,17523FJRPMIN8PR,SW11450PB PRJERSEY 17523FJRPMIN8PR - MINNESOTA VIKINGS JERSEY KIRK COUSINS PURPLE PROOF 17.5x23,SW11450PB,197-3,17.5x23
32877,54139,426184,PRJERSEY,1218FJRPMIN9PR,SW11451PA PRJERSEY 1218FJRPMIN9PR - MINNESOTA VIKINGS JERSEY PRINT J.J. MCCARTHY PURPLE PROOF 12x18,SW11451PA,197-2,12x18
32877,54139,428653,PRJERSEY,17523FJRPMIN9PR,SW11451PB PRJERSEY 17523FJRPMIN9PR - MINNESOTA VIKINGS JERSEY PRINT J.J. MCCARTHY PURPLE PROOF 17.5x23,SW11451PB,197-3,17.5x23
32877,54139,426185,PRJERSEY,1218FJRPMIN9WH,SW11452PA PRJERSEY 1218FJRPMIN9WH - MINNESOTA VIKINGS JERSEY PRINT J.J. MCCARTHY WHITE PROOF 12x18,SW11452PA,197-2,12x18
32877,54139,428654,PRJERSEY,17523FJRPMIN9WH,SW11452PB PRJERSEY 17523FJRPMIN9WH - MINNESOTA VIKINGS JERSEY PRINT J.J. MCCARTHY WHITE PROOF 17.5x23,SW11452PB,197-3,17.5x23
32877,54139,426186,PRJERSEY,1218FJRPNEP10BL,SW11453PA PRJERSEY 1218FJRPNEP10BL - NEW ENGLAND PATRIOTS JERSEY PRINT DRAKE MAYE PROOF 12x18,SW11453PA,197-2,12x18
32877,54139,428655,PRJERSEY,17523FJRPNEP10BL,SW11453PB PRJERSEY 17523FJRPNEP10BL - NEW ENGLAND PATRIOTS JERSEY PRINT DRAKE MAYE PROOF 17.5x23,SW11453PB,197-3,17.5x23
32877,54139,426187,PRJERSEY,1218FJRPNEP10WH,SW11454PA PRJERSEY 1218FJRPNEP10WH - NEW ENGLAND PATRIOTS JERSEY PRINT MAC JONES WHITE PROOF 12x18,SW11454PA,197-2,12x18
32877,54139,428656,PRJERSEY,17523FJRPNEP10WH,SW11454PB PRJERSEY 17523FJRPNEP10WH - NEW ENGLAND PATRIOTS JERSEY PRINT MAC JONES WHITE PROOF 17.5x23,SW11454PB,197-3,17.5x23
32877,54139,426188,PRJERSEY,1218FJRPNEP9WH,SW11455PA PRJERSEY 1218FJRPNEP9WH - NEW ENGLAND PATRIOTS JERSEY PRINT MATTHEW JUDON WHITE PROOF 12x18,SW11455PA,197-2,12x18
32877,54139,428657,PRJERSEY,17523FJRPNEP9WH,SW11455PB PRJERSEY 17523FJRPNEP9WH - NEW ENGLAND PATRIOTS JERSEY PRINT MATTHEW JUDON WHITE PROOF 17.5x23,SW11455PB,197-3,17.5x23
32877,54139,426189,PRJERSEY,1218FJRPNOS12BK,SW11456PA PRJERSEY 1218FJRPNOS12BK - NEW ORLEANS SAINTS JERSEY PRINT CHRIS OLAVE BLACK PROOF 12x18,SW11456PA,197-2,12x18
32877,54139,428658,PRJERSEY,17523FJRPNOS12BK,SW11456PB PRJERSEY 17523FJRPNOS12BK - NEW ORLEANS SAINTS JERSEY PRINT CHRIS OLAVE BLACK PROOF 17.5x23,SW11456PB,197-3,17.5x23
32877,54139,426190,PRJERSEY,1218FJRPNOS41BK,SW11457PA PRJERSEY 1218FJRPNOS41BK - NEW ORLEANS SAINTS JERSEY PRINT ALVIN KAMARA BLACK PROOF 12x18,SW11457PA,197-2,12x18
32877,54139,428659,PRJERSEY,17523FJRPNOS41BK,SW11457PB PRJERSEY 17523FJRPNOS41BK - NEW ORLEANS SAINTS JERSEY PRINT ALVIN KAMARA BLACK PROOF 17.5x23,SW11457PB,197-3,17.5x23
32877,54139,426191,PRJERSEY,1218FJRPNOS4BK,SW11458PA PRJERSEY 1218FJRPNOS4BK - NEW ORLEANS SAINTS JERSEY PRINT DEREK CARR BLACK PROOF 12x18,SW11458PA,197-2,12x18
32877,54139,428660,PRJERSEY,17523FJRPNOS4BK,SW11458PB PRJERSEY 17523FJRPNOS4BK - NEW ORLEANS SAINTS JERSEY PRINT DEREK CARR BLACK PROOF 17.5x23,SW11458PB,197-3,17.5x23
32877,54139,426192,PRJERSEY,1218FJRPNYG12WH,SW11459PA PRJERSEY 1218FJRPNYG12WH - NEW YORK GIANTS JERSEY PRINT DARREN WALLER WHITE PROOF 12x18,SW11459PA,197-2,12x18
32877,54139,428661,PRJERSEY,17523FJRPNYG12WH,SW11459PB PRJERSEY 17523FJRPNYG12WH - NEW YORK GIANTS JERSEY PRINT DARREN WALLER WHITEE PROOF 17.5x23,SW11459PB,197-3,17.5x23
32877,54139,426193,PRJERSEY,1218FJRPNYG26WH,SW11460PA PRJERSEY 1218FJRPNYG26WH - NEW YORK GIANTS JERSEY PRINT SAQUON BARKLEY WHITE PROOF 12x18,SW11460PA,197-2,12x18
32877,54139,428662,PRJERSEY,17523FJRPNYG26WH,SW11460PB PRJERSEY 17523FJRPNYG26WH - NEW YORK GIANTS JERSEY SAQUON BARKLEY WHITE PROOF 17.5x23,SW11460PB,197-3,17.5x23
32877,54139,426194,PRJERSEY,1218FJRPNYG8BL,SW11461PA PRJERSEY 1218FJRPNYG8BL - NEW YORK GIANTS JERSEY PRINT DANIEL JONES BLUE PROOF 12x18,SW11461PA,197-2,12x18
32877,54139,428663,PRJERSEY,17523FJRPNYG8BL,SW11461PB PRJERSEY 17523FJRPNYG8BL - NEW YORK GIANTS JERSEY PRINT DANIEL JONES BLUE PROOF 17.5x23,SW11461PB,197-3,17.5x23
32877,54139,426195,PRJERSEY,1218FJRPNYG8WH,SW11462PA PRJERSEY 1218FJRPNYG8WH - NEW YORK GIANTS JERSEY PRINT DANIEL JONES WHITE PROOF 12x18,SW11462PA,197-2,12x18
32877,54139,428664,PRJERSEY,17523FJRPNYG8WH,SW11462PB PRJERSEY 17523FJRPNYG8WH - NEW YORK GIANTS JERSEY PRINT DANIEL JONES WHITE PROOF 17.5x23,SW11462PB,197-3,17.5x23
32877,54139,426196,PRJERSEY,1218FJRPNYG9BL,SW11463PA PRJERSEY 1218FJRPNYG9BL - NEW YORK GIANTS JERSEY PRINT MALIK NABERS BLUE PROOF 12x18,SW11463PA,197-2,12x18
32877,54139,428665,PRJERSEY,17523FJRPNYG9BL,SW11463PB PRJERSEY 17523FJRPNYG9BL - NEW YORK GIANTS JERSEY PRINT MALIK NABERS BLUE PROOF 17.5x23,SW11463PB,197-3,17.5x23
32877,54139,426197,PRJERSEY,1218FJRPNYG9WH,SW11464PA PRJERSEY 1218FJRPNYG9WH - NEW YORK GIANTS JERSEY PRINT MALIK NABERS WHITE PROOF 12x18,SW11464PA,197-2,12x18
32877,54139,428666,PRJERSEY,17523FJRPNYG9WH,SW11464PB PRJERSEY 17523FJRPNYG9WH - NEW YORK GIANTS JERSEY PRINT MALIK NABERS WHITE PROOF 17.5x23,SW11464PB,197-3,17.5x23
32877,54139,426198,PRJERSEY,1218FJRPNYJ17WH,SW11465PA PRJERSEY 1218FJRPNYJ17WH - NEW YORK JETS JERSEY PRINT GARTRRETT WILSON WHITE PROOF 12x18,SW11465PA,197-2,12x18
32877,54139,428667,PRJERSEY,17523FJRPNYJ17WH,SW11465PB PRJERSEY 17523FJRPNYJ17WH - NEW YORK JETS JERSEY PRINT GARTRRETT WILSON WHITE PROOF 17.5x23,SW11465PB,197-3,17.5x23
32877,54139,426199,PRJERSEY,1218FJRPNYJ1WH,SW11466PA PRJERSEY 1218FJRPNYJ1WH - NEW YORK JETS JERSEY PRINT SAUCE GARTRDNER WHITE PROOF 12x18,SW11466PA,197-2,12x18
32877,54139,428668,PRJERSEY,17523FJRPNYJ1WH,SW11466PB PRJERSEY 17523FJRPNYJ1WH - NEW YORK JETS JERSEY PRINT SAUCE GARTRDNER WHITE PROOF 17.5x23,SW11466PB,197-3,17.5x23
32877,54139,426200,PRJERSEY,1218FJRPNYJ8GN,SW11467PA PRJERSEY 1218FJRPNYJ8GN - NEW YORK JETS JERSEY PRINT AARON RODGERS GREEN PROOF 12x18,SW11467PA,197-2,12x18
32877,54139,428669,PRJERSEY,17523FJRPNYJ8GN,SW11467PB PRJERSEY 17523FJRPNYJ8GN - NEW YORK JETS JERSEY PRINT AARON RODGERS GREEN PROOF 17.5x23,SW11467PB,197-3,17.5x23
